Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Hannes Delcroix,DF,Burnley,5,24,12,6.5,589,0,0,0,0,0,0
Han-Noah Massengo,"MF,DF",Burnley,0,22,3,0.2,16,0,0,0,0,0,0
Hjalmar Ekdal,DF,Burnley,5,24,8,4.9,437,0,0,0,0,0,0
Jack Cork,MF,Burnley,0,34,4,0.3,27,0,0,0,0,0,0
Jacob Bruun Larsen,"MF,FW",Burnley,16,24,32,13.9,1249,6,0,6,1,0.43,0.36
James Trafford,GK,Burnley,28,20,28,28,2520,0,0,0,0,0,0
Jay Rodriguez,FW,Burnley,7,34,21,9.1,822,2,1,3,1,0.33,0.22
Jóhann Berg Guðmundsson,"MF,FW",Burnley,12,32,26,13.2,1192,1,3,4,0,0.3,0.3
Jordan Beyer,DF,Burnley,15,23,15,13.7,1234,0,1,1,0,0.07,0.07
Josh Brownhill,MF,Burnley,23,27,33,25,2252,4,2,6,0,0.24,0.24
Josh Cullen,MF,Burnley,23,27,25,22.9,2057,2,3,5,0,0.22,0.22
Lorenz Assignon,DF,Burnley,15,23,15,13.7,1234,1,2,3,0,0.22,0.22
Luca Koleosho,"MF,FW",Burnley,13,18,15,10.8,974,1,1,2,0,0.18,0.18
Lyle Foster,"FW,MF",Burnley,22,22,24,21.1,1899,5,3,8,0,0.38,0.38
Maxime Estève,DF,Burnley,15,21,16,14.5,1309,0,0,0,0,0,0
Michael Obafemi,"FW,MF",Burnley,0,23,2,0.2,20,0,0,0,0,0,0
Mike Trésor,"FW,MF",Burnley,3,24,16,4.7,420,0,0,0,0,0,0
Nathan Redmond,"FW,MF",Burnley,0,29,12,1.6,142,0,0,0,0,0,0
Sander Berge,MF,Burnley,34,25,37,33.4,3005,1,2,3,0,0.09,0.09
Vitinho,"DF,MF",Burnley,26,24,32,25.7,2314,0,2,2,0,0.08,0.08
Wilson Odobert,"MF,FW",Burnley,25,18,29,23.3,2098,3,2,5,0,0.21,0.21
Zeki Amdouni,FW,Burnley,27,22,34,21.7,1953,5,1,6,1,0.28,0.23
Alex Matos,MF,Chelsea,0,18,1,0,1,0,0,0,0,0,0
Alfie Gilchrist,DF,Chelsea,2,19,11,2.3,207,1,0,1,0,0.43,0.43
Armando Broja,FW,Chelsea,6,21,13,5,454,1,0,1,0,0.2,0.2
Axel Disasi,DF,Chelsea,29,25,31,28.7,2579,2,0,2,0,0.07,0.07
Ben Chilwell,DF,Chelsea,9,26,13,8.4,756,0,1,1,0,0.12,0.12
Benoît Badiashile,DF,Chelsea,15,22,18,14.9,1338,0,1,1,0,0.07,0.07
Carney Chukwuemeka,"MF,FW",Chelsea,2,19,9,2.5,227,1,1,2,0,0.79,0.79
Cesare Casadei,"FW,MF",Chelsea,0,20,11,0.9,79,0,0,0,0,0,0
Christopher Nkunku,"FW,MF",Chelsea,2,25,11,4.9,443,3,0,3,0,0.61,0.61
Cole Palmer,"FW,MF",Chelsea,29,21,33,29,2607,22,11,33,9,1.14,0.83
Conor Gallagher,MF,Chelsea,37,23,37,34.8,3128,5,7,12,0,0.35,0.35
Deivid Washington,"DF,FW",Chelsea,0,18,2,0.1,13,0,0,0,0,0,0
Đorđe Petrović,GK,Chelsea,22,23,23,22.1,1987,0,0,0,0,0,0
Enzo Fernández,MF,Chelsea,26,22,28,24.5,2209,3,2,5,1,0.2,0.16
Ian Maatsen,"FW,MF",Chelsea,1,21,12,2.3,209,0,0,0,0,0,0
Jimi Tauriainen,FW,Chelsea,0,19,1,0,1,0,0,0,0,0,0
Joshua Acheampong,DF,Chelsea,0,17,1,0.1,6,0,0,0,0,0,0
Lesley Ugochukwu,MF,Chelsea,3,19,12,3.3,301,0,0,0,0,0,0
Levi Colwill,DF,Chelsea,20,20,23,20,1797,1,1,2,0,0.1,0.1
Malo Gusto,DF,Chelsea,19,20,27,19.5,1751,0,6,6,0,0.31,0.31
Marc Cucurella,DF,Chelsea,20,25,21,19.8,1782,0,2,2,0,0.1,0.1
Mason Burstow,FW,Chelsea,0,19,2,0.1,9,0,0,0,0,0,0
Moisés Caicedo,MF,Chelsea,33,21,35,31.8,2866,1,3,4,0,0.13,0.13
Mykhailo Mudryk,FW,Chelsea,18,22,31,17.5,1576,5,2,7,0,0.4,0.4
Nicolas Jackson,FW,Chelsea,31,22,35,31.1,2799,14,5,19,0,0.61,0.61
Noni Madueke,FW,Chelsea,13,21,23,11.7,1053,5,2,7,1,0.6,0.51
Raheem Sterling,"FW,MF",Chelsea,22,28,31,22,1978,8,4,12,0,0.55,0.55
Reece James,DF,Chelsea,5,23,10,4.7,419,0,2,2,0,0.43,0.43
Robert Sánchez,GK,Chelsea,16,25,16,15.9,1433,0,0,0,0,0,0
Roméo Lavia,MF,Chelsea,0,19,1,0.4,33,0,0,0,0,0,0
Thiago Silva,DF,Chelsea,28,38,31,28.1,2527,3,1,4,0,0.14,0.14
